,Frame,x_center,y_center,w,h,label,type,FileName
0,003815.jpg,596.0,308.0,470.0,202.0,0.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003815.jpg
1,003815.jpg,470.0,53.0,54.0,102.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003815.jpg
2,003815.jpg,389.0,53.0,63.0,102.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003815.jpg
3,003815.jpg,495.0,102.0,61.0,161.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003815.jpg
4,003815.jpg,596.0,263.0,86.0,46.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/003815.jpg
5,004193.jpg,374.0,404.0,196.0,171.0,2.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004193.jpg
6,004193.jpg,543.0,154.0,23.0,70.0,3.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004193.jpg
7,004193.jpg,571.0,149.0,29.0,67.0,3.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004193.jpg
8,004193.jpg,572.0,567.0,315.0,147.0,4.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/004193.jpg
9,002863.jpg,824.0,321.0,273.0,638.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002863.jpg
10,002863.jpg,471.0,321.0,459.0,635.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002863.jpg
11,002863.jpg,371.0,98.0,65.0,60.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002863.jpg
12,002863.jpg,208.0,133.0,44.0,89.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002863.jpg
13,002863.jpg,257.0,134.0,23.0,84.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002863.jpg
14,002863.jpg,317.0,119.0,31.0,36.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002863.jpg
15,002863.jpg,282.0,121.0,23.0,58.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/002863.jpg
16,007992.jpg,542.0,327.0,248.0,169.0,0.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007992.jpg
17,007992.jpg,49.0,91.0,33.0,75.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007992.jpg
18,007992.jpg,93.0,91.0,33.0,79.0,1.0,test,./VOCdevkit2007/VOC2007/JPEGImages/007992.jpg
19,008015.jpg,495.0,315.0,200.0,302.0,5.0,test,./VOCdevkit2007/VOC2007/JPEGImages/008015.jpg
20,003660.jpg,774.0,369.0,371.0,264.0,2.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/003660.jpg
21,006987.jpg,855.0,186.0,109.0,86.0,2.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006987.jpg
22,006987.jpg,666.0,208.0,342.0,365.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006987.jpg
23,006987.jpg,397.0,243.0,200.0,274.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006987.jpg
24,006455.jpg,508.0,364.0,507.0,474.0,6.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006455.jpg
25,006455.jpg,429.0,223.0,144.0,380.0,1.0,trainval,./VOCdevkit2007/VOC2007/JPEGImages/006455.jpg
